Id,Descripción,Localización,Enlace,Precio,Última Actualización,Timestamp_Scrapeo,Superficie Construida,Habitaciones,Baños,Antigüedad,Conservación,Superficie Útil,Tipo De Casa,CP,CP_encoded,Planta_11ª,Planta_12ª,Planta_13ª,Planta_14ª,Planta_15ª,Planta_16ª,Planta_17ª,Planta_1ª,Planta_2ª,Planta_3ª,Planta_4ª,Planta_5ª,Planta_6ª,Planta_7ª,Planta_8ª,Planta_9ª,Planta_Bajo,Planta_Entresuelo,Planta_Más de 20,Planta_No especificado,Planta_Principal,Planta_Semisótano,Planta_Sótano,cluster
eeed63c7-eb82-4a16-a73e-6020f6f5e187,Chalet en venta en Camino de las Canteras,El Berrueco,https://www.pisos.com/comprar/chalet-el_berrueco_centro_urbano-45865969693_100500/,0.019799498746867168,2024-07-15,2024-11-06 00:05:06.657503,0.27008032128514053,5,2,6,3,0.14478648630522947,1,28192,0.12421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
93f847a7-1110-4bb3-b48b-4be9e12e5ab9,Piso en venta en Calle de Mingorría,Campamento (Distrito Latina. Madrid Capital),https://www.pisos.com/comprar/piso-latina_campamento28024-48352124930_100500/,0.013784461152882205,2024-10-28,2024-11-06 00:05:09.167621,0.08333333333333333,3,1,5,3,0.14478648630522947,5,28024,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a770cd39-3299-40b2-ad1f-c022b2ea8a8a,Piso en venta en Casco Antiguo,Casco Antiguo (Coslada),https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-48418963223_100200/,0.006456140350877193,2024-11-04,2024-11-06 00:05:13.761037,0.05923694779116465,2,1,5,2,0.14478648630522947,5,28821,0.09408421052631578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3589204f-f424-4c2a-a39a-0db9f889d2e3,Ático en venta en Centro,Cortes-Huertas (Distrito Centro. Madrid Capital),https://www.pisos.com/comprar/atico-cortes_huertas28012-47554575765_100500/,0.03994987468671679,2024-10-29,2024-11-06 00:05:16.339681,0.09538152610441766,2,2,5,3,0.0800405268490375,4,28014,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
07d07f7c-c342-4c0d-809e-3d5a86ffc3f4,Piso en venta en Pueblo,Abantos-Monte Carmelo-El Rosario (San Lorenzo de El Escorial),https://www.pisos.com/comprar/piso-abantos_monte_carmelo_el_rosario-48386655981_103800/,0.007017543859649123,2024-11-05,2024-11-06 00:05:18.886947,0.08433734939759036,2,1,6,2,0.14478648630522947,5,28280,0.11107368421052631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1f8fa7db-b6d2-4895-a5a0-6c98b4b914e3,Casa adosada en venta en Chamartin,Hispanoamérica (Distrito Chamartín. Madrid Capital),https://www.pisos.com/comprar/casa_adosada-chamartin_hispanoamerica28016-48379938737_109300/,0.09949874686716792,2024-11-04,2024-11-06 00:05:21.476391,0.35943775100401604,6,6,6,3,0.353596757852077,0,28036,0.43157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
bd66f18f-e650-4ea1-9488-b932f1ea0223,"Piso en venta en Calle Hermosilla, cerca de Calle de Alcántara",Goya (Distrito Salamanca. Madrid Capital),https://www.pisos.com/comprar/piso-goya28009-47546280023_109300/,0.11779448621553884,2024-11-05,2024-11-06 00:05:24.026525,0.1867469879518072,3,3,5,3,0.1884498480243161,5,28006,0.5368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
9f6a4276-fcc4-4548-ad43-de31f3b0a746,Piso en venta en Parque Europa-El Prado,Parque Europa-El Prado (Pinto),https://www.pisos.com/comprar/piso-parque_europa_el_prado-48341344482_101000/,0.009022556390977442,2024-11-05,2024-11-06 00:05:26.580440,0.06124497991967871,3,1,6,3,0.14478648630522947,5,28320,0.06421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
c1bb8bce-3387-4f03-898a-c79c02872f03,"Piso en venta en Calle de la Virgen de Loreto, 20","Colonia, Avenida de Meco (Distrito El Val. Alcalá de Henares)",https://www.pisos.com/comprar/piso-colonia_avenida_de_meco28805-38368292647_109700/,0.015533834586466165,2024-07-17,2024-11-06 00:05:29.243272,0.10341365461847389,3,2,6,0,0.14478648630522947,5,28880,0.12894736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
d1a0424c-23f3-4b40-97b5-2d0c63b5fa31,Piso en venta en Cuzco-Castillejo,Castillejos (Distrito Tetuán. Madrid Capital),https://www.pisos.com/comprar/piso-castillejos28020-45039293331_100500/,0.042606516290726815,2024-08-10,2024-11-06 00:05:31.804574,0.18975903614457829,4,3,6,2,0.16109422492401215,5,28039,0.14947368421052631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
