id,Descripción,Localización,Enlace,Precio,Última Actualización,Tipo de operación,timestamp_scrapeo,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Superficie útil,Tipo de Casa,codigo_postal,codigo_postal_encoded,Planta_2ª,Planta_3ª,Planta_4ª,Planta_5ª,Planta_6ª,Planta_7ª,Planta_8 o más,Planta_Bajo,Planta_Entresuelo,Planta_No especificado,Planta_Principal,cluster
ef1bc5ba-de65-4290-8df3-329bd177a09d,Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),https://www.pisos.com/alquilar/piso-san_diego28018-24247135937_100500/,1110.0,2024-09-24,Alquiler,2024-11-04 13:50:19.839623,57.0,3.0,1.0,6,2,90.0,5,28038,1047.3833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
a5ffff52-1b99-4837-8748-858459a41dc1,Casa adosada en alquiler en Valdepastores-Pino Centinela-Las Encinas,Valdepastores-Pino Centinela-Las Encinas (Boadilla del Monte),https://www.pisos.com/alquilar/casa_adosada-valdepastores_pino_centinela_las_encinas28669-47512926715_101800/,5500.0,2024-09-18,Alquiler,2024-11-04 13:50:27.938410,500.0,5.0,4.0,1,3,90.0,0,28660,3642.368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8880bdfe-0573-4f8b-86d0-47356066828e,"Piso en alquiler en Paseo de la Tolerancia, 2",Zona Sureste (Torrejón de Ardoz),https://www.pisos.com/alquilar/piso-zona_sureste-40887707942_100500/,950.0,2024-11-04,Alquiler,2024-11-04 13:50:34.828107,70.0,2.0,1.0,6,2,90.0,5,28850,965.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
e018b292-1320-4537-999f-6fba70dcca03,Apartamento en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),https://www.pisos.com/alquilar/apartamento-universidad_malasana28004-38430850360_101800/,3530.0,2024-08-20,Alquiler,2024-11-04 13:50:41.858900,140.0,2.0,2.0,6,3,90.0,4,28004,3456.7175572519086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
216fdf8c-b6e4-4eb8-82f0-ab906284492b,"Piso en alquiler en Calle Gran Vía, cerca de Calle de Chinchilla",Sol (Distrito Centro. Madrid Capital),https://www.pisos.com/alquilar/piso-sol_barrio28013-45859508019_108900/,4600.0,2024-10-26,Alquiler,2024-11-04 13:50:49.783800,182.0,2.0,2.0,6,0,90.0,5,28013,2896.792207792208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1e9553be-92a9-4baf-97b9-57293155c541,"Piso en alquiler en Calle de Muller, 56, cerca de Calle de Ceferino Rodríguez",Valdeacederas (Distrito Tetuán. Madrid Capital),https://www.pisos.com/alquilar/piso-valdeacederas28029-35837410866_100500/,1250.0,2024-10-18,Alquiler,2024-11-04 13:50:56.632669,69.0,2.0,1.0,1,2,58.0,5,28039,1968.113402061856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ba431bc6-7f75-4597-bac3-b6766fa93f11,Ático en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),https://www.pisos.com/alquilar/atico-goya28006-46685759880_108900/,3800.0,2024-10-30,Alquiler,2024-11-04 13:51:03.520201,75.0,2.0,2.0,6,3,75.0,4,28006,3701.586021505376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
45a02711-8b2c-4e14-99e1-7d55335cef31,Piso en alquiler en Casco Antiguo,Casco Antiguo (Alcorcón),https://www.pisos.com/alquilar/piso-alcorcon_casco_antiguo28921-48425408752_101800/,1350.0,2024-10-30,Alquiler,2024-11-04 13:51:11.978386,108.0,3.0,2.0,5,3,90.0,5,28921,1102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0db146aa-3eb5-4921-8e5a-d0fae4ecacd4,Piso en alquiler en Paseo de la Castellana,Almenara (Distrito Tetuán. Madrid Capital),https://www.pisos.com/alquilar/piso-tetuan_almenara28046-46715275355_108900/,2100.0,2024-11-04,Alquiler,2024-11-04 13:51:18.552310,137.0,2.0,2.0,6,3,100.0,5,28039,1968.113402061856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
b9a80643-10b4-4171-ae71-ce9c0670f8fa,Piso en alquiler en Meco,Meco,https://www.pisos.com/alquilar/piso-meco_centro_urbano-47571656186_109300/,800.0,2024-10-27,Alquiler,2024-11-04 13:51:25.836596,65.0,2.0,1.0,4,0,90.0,5,28880,1158.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
