ID,Timestamp Scrapeo,Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
af70a2ce-d16e-41fb-bb2d-2f7b4fa9a716,2024-10-30T18:35:58.924478,https://www.pisos.com/comprar/chalet-moncloa_aravaca_aravaca28023-4565113907_109700/,3.300.000,704,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '704 m²'), ('Habitaciones:', '5'), ('Baños:', '7'), ('Conservación:', 'A estrenar'), ('Referencia:', 'IF5271-21203825')]",Compra
e6b8b9c4-d3d0-46f1-b162-70dd4273c3cf,2024-10-30T18:36:03.247328,https://www.pisos.com/comprar/duplex-venecia28804-39173531141_100500/,N/A,N/A,N/A,N/A,N/A,[],Compra
8079ddb8-c5ab-4784-ad96-1e687203ba43,2024-10-30T18:36:08.519734,https://www.pisos.com/comprar/piso-justicia_chueca28004-47579413735_524350/,N/A,N/A,N/A,N/A,N/A,[],Compra
caac0c10-167b-4110-8a8e-401179bafe3d,2024-10-30T18:36:12.655380,https://www.pisos.com/comprar/chalet-torrelodones_casco_antiguo-4272054403_109700/,699.000,174,Anuncio actualizado el 20/03/2024,N/A,N/A,"[('Superficie construida:', '174 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4527992-20933116')]",Compra
261e498f-4237-4c03-b62a-93ec3c94b5f1,2024-10-30T18:36:17.119806,https://www.pisos.com/comprar/piso-chamberi_vallehermoso28003-45049733830_100500/,1.075.000,180,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '180 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Gastos de comunidad:', 'Más de 100 €'), ('Referencia:', 'SA3018-1-1442/8205')]",Compra
586168aa-49bf-443d-9b22-7e218376f18b,2024-10-30T18:36:22.052917,https://www.pisos.com/comprar/piso-alcobendas_valdelacasa-4924645533_109700/,870.000,156,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '156 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4523697-21459213')]",Compra
938a7f6d-61ab-4128-8331-3185aef7b697,2024-10-30T18:36:28.657623,https://www.pisos.com/comprar/atico-san_diego28053-47591328810_100200/,239.000,110,Anuncio actualizado el 09/10/2024,N/A,N/A,"[('Superficie construida:', '110 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC294-595832')]",Compra
6bad76e1-27b6-43d4-b17e-cbc9b7911e04,2024-10-30T18:36:33.394757,https://www.pisos.com/comprar/piso-mirasierra_arroyo_del_fresno28049-45045750377_528531/,N/A,N/A,N/A,N/A,N/A,[],Compra
30b6dd73-c1f5-4d84-b485-1a0a5c95a145,2024-10-30T18:36:37.845850,https://www.pisos.com/comprar/chalet-fuente_el_saz_de_jarama_centro_urbano-39246449144_440000/,N/A,N/A,N/A,N/A,N/A,[],Compra
0ccfd329-1122-44fb-b2f9-8a7ff7bb8fb8,2024-10-30T18:36:42.040630,https://www.pisos.com/comprar/casa_unifamiliar-sevilla_la_nueva_centro_urbano-39200076537_101000/,649.900,455,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '455 m²'), ('Superficie útil:', '393 m²'), ('Habitaciones:', '7'), ('Baños:', '5'), ('Tipo de casa:', 'Unifamiliar'), ('Referencia:', 'AF169-2131/136')]",Compra
e01bbdb0-b159-45f2-a496-53051420ac02,2024-10-30T18:36:46.290361,https://www.pisos.com/comprar/piso-el_canaveral-4789841164_109700/,436.900,107,Anuncio actualizado el 14/10/2024,N/A,N/A,"[('Superficie construida:', '107 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Conservación:', 'A estrenar'), ('Referencia:', '4991481-21450040')]",Compra
ac6cd4e5-dd01-4204-bc1c-c1c570702544,2024-10-30T18:36:50.626253,https://www.pisos.com/comprar/piso-goya28006-48414528471_100500/,N/A,N/A,N/A,N/A,N/A,[],Compra
33adea1f-dda7-4758-94d7-393bc1e1d78b,2024-10-30T18:36:54.690689,https://www.pisos.com/comprar/piso-las_rozas_de_madrid_centro28231-4347260038_109700/,698.000,4,Anuncio actualizado el 11/04/2024,N/A,N/A,"[('Habitaciones:', '4'), ('Planta:', '3ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '-a0P1v0000137XpVEAU')]",Compra
af4735f1-4a27-4013-8dc5-d250d7b3023a,2024-10-30T18:36:59.143340,https://www.pisos.com/comprar/casa_unifamiliar-sevilla_la_nueva_centro_urbano-47583467297_100600/,427.000,249,Anuncio actualizado el 17/10/2024,Consumo:241 kWh/m² año,Emisiones:53 Kg CO₂/m² año,"[('Superficie construida:', '249 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Tipo de casa:', 'Unifamiliar'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'LF151-DJ1436')]",Compra
a7e586a0-b57f-4370-a958-dd66db499a12,2024-10-30T18:37:03.764693,https://www.pisos.com/comprar/chalet-torrelodones_casco_antiguo-4260915264_109700/,699.000,161,Anuncio actualizado el 20/03/2024,N/A,N/A,"[('Superficie construida:', '161 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Conservación:', 'A estrenar'), ('Referencia:', '4527992-20933111')]",Compra
595f4978-6174-4cae-acd0-be75c813422a,2024-10-30T18:37:07.607997,https://www.pisos.com/comprar/piso-justicia_chueca28004-48373886947_101000/,N/A,N/A,N/A,N/A,N/A,[],Compra
6f7a2541-3cd5-4fa8-9e41-29e6b4d45cbc,2024-10-30T18:37:12.040123,https://www.pisos.com/comprar/casa_adosada-villaviciosa_de_odon_centro-43389644953_100500/,570.000,218,Anuncio actualizado el 04/06/2024,N/A,N/A,"[('Superficie construida:', '218 m²'), ('Superficie solar:', '146 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Tipo de casa:', 'Adosada'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4858-C501155')]",Compra
7fb1b1ed-0891-43e7-aa3d-a84e2d110ba4,2024-10-30T18:37:16.656797,https://www.pisos.com/comprar/piso-concepcion-48354179923_998858/,795.000,201,Anuncio actualizado el 21/10/2024,Consumo:33 kWh/m² año,Emisiones:8 Kg CO₂/m² año,"[('Superficie construida:', '201 m²'), ('Superficie útil:', '165 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Exterior:', 'Exterior, incluso el baño principal'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4998858-Vivienda Garcia Quintanilla')]",Compra
5b4965b3-2b88-4692-9e04-f6d9093e8a70,2024-10-30T18:37:21.504708,https://www.pisos.com/comprar/piso-justicia_chueca28004-41763657311_100500/,875.000,133,Anuncio actualizado el 30/10/2024,N/A,N/A,"[('Superficie construida:', '133 m²'), ('Superficie útil:', '105 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '2ª'), ('Gastos de comunidad:', 'Más de 100 €'), ('Referencia:', 'SA3018-9-1406/8205')]",Compra
f3ad5527-ebbd-40c5-88f3-fb9cee81e757,2024-10-30T18:37:25.635990,https://www.pisos.com/comprar/chalet-castillo_campodon-41748339033_100500/,1.150.000,580,Anuncio actualizado el 04/06/2024,N/A,N/A,"[('Superficie construida:', '580 m²'), ('Superficie solar:', '1.308 m²'), ('Habitaciones:', '7'), ('Baños:', '7'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4858-C501137')]",Compra
bfab5da1-3df2-40bd-a3de-719c4d2b409a,2024-10-30T18:37:29.937281,https://www.pisos.com/comprar/piso-justicia_chueca28004-39177236516_100500/,N/A,N/A,N/A,N/A,N/A,[],Compra
5cd20925-11a4-444e-af4f-fd5efe4a4cbe,2024-10-30T18:37:37.933321,https://www.pisos.com/comprar/piso-castilla28046-47570409169_101800/,1.195.000,220,Anuncio actualizado el 26/09/2024,N/A,N/A,"[('Superficie construida:', '220 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Planta:', '6ª'), ('Referencia:', 'IF7146-p1765')]",Compra
592d4799-3592-4b8a-9892-89083a359759,2024-10-30T18:37:46.288086,https://www.pisos.com/comprar/casa_pareada-villaviciosa_de_odon_centro-48370729431_100200/,599.000,225,Anuncio actualizado el 09/10/2024,Consumo:234 kWh/m² año,Emisiones:49 Kg CO₂/m² año,"[('Superficie construida:', '225 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Tipo de casa:', 'Pareada'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC304-595378')]",Compra
