Id,Descripción,Localización,Enlace,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Timestamp_Scrapeo,Superficie Construida,Habitaciones,Baños,Antigüedad,Conservación,Superficie Útil,Planta,Tipo De Casa
1e6e87f8-c841-44a8-b4ea-4c911c15f7af,"Piso en venta en San Isidro, Estación","San Isidro, Estación (Distrito Centro. Alcalá de Henares)",https://www.pisos.com/comprar/piso-san_isidro_estacion28807-48362327070_109300/,189900.0,2024-10-23,Consumo:258 kWh/m² año,Emisiones:54 Kg CO₂/m² año,compra,2024-11-06T06:36:57.146289,83.0,2,1,Entre 30 y 50 años,No especificado,75.0,3ª,Piso
ddec1bfb-7f6c-4d62-bfbb-22f4bbbde419,"Dúplex en venta en Calle de las Pozas, cerca de Calle del Presidente Calvo Sotelo",Torrejón de Velasco,https://www.pisos.com/comprar/duplex-torrejon_de_velasco_centro_urbano-45848426254_108900/,140000.0,2024-09-18,,,compra,2024-11-06T06:36:59.946150,110.0,1,2,No especificado,En buen estado,No especificado,1ª,Dúplex
2ac21f1f-589e-44aa-81e0-3a314b1bdb2d,Casa en venta en Camarma de Esteruelas,Camarma de Esteruelas,https://www.pisos.com/comprar/casa-camarma_de_esteruelas_centro_urbano-46720166458_109300/,229000.0,2024-08-31,Consumo:843 kWh/m² año,Emisiones:177 Kg CO₂/m² año,compra,2024-11-06T06:37:02.513781,163.0,3,1,Entre 30 y 50 años,En buen estado,84.0,No especificado,Casa
cecf52e0-7d7c-4692-8fc6-e7a006127a9b,Dúplex en venta en Casco Histórico de Vallecas,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),https://www.pisos.com/comprar/duplex-casco_historico_de_vallecas28031-46744302704_526617/,395000.0,2024-11-05,,,compra,2024-11-06T06:37:05.227791,204.0,4,3,Entre 30 y 50 años,Reformado,180.0,1ª,Dúplex
7de2ae78-d7ac-4ccc-b704-2c3bd63a8b74,Chalet en venta en Calle de Torrejón,Calle Pinto-San Roque (Parla),https://www.pisos.com/comprar/chalet-calle_pinto_san_roque-48336413795_100500/,459900.0,2024-10-28,,,compra,2024-11-06T06:37:07.696037,270.0,6,4,Más de 50 años,En buen estado,No especificado,No especificado,Chalet
60b2bae4-e5a4-47f0-969a-40449d0cd3dd,"Casa en venta en Calle de Inocencio Fernández, número .",Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),https://www.pisos.com/comprar/casa-penagrande28035-47513979003_109300/,749000.0,2024-10-05,,,compra,2024-11-06T06:37:10.426000,188.0,4,3,No especificado,No especificado,188.0,No especificado,Casa
7b0b2cc9-916f-4f28-8d39-4ba8ffb37d4a,Piso en venta en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-40923498457_100200/,247000.0,2024-09-19,Consumo:90 kWh/m² año,Emisiones:180 Kg CO₂/m² año,compra,2024-11-06T06:37:12.999647,42.0,1,1,Más de 50 años,En buen estado,No especificado,1ª,Piso
9ba26d32-754a-454c-a85c-f8f4885f1b88,Casa adosada en venta en Calle de Pozohalcón,Entrevías (Distrito Puente de Vallecas. Madrid Capital),https://www.pisos.com/comprar/casa_adosada-puente_de_vallecas_entrevias28053-30888663775_108300/,93900.0,2024-05-16,,,compra,2024-11-06T06:37:15.705146,81.0,3,2,No especificado,No especificado,67.0,No especificado,Casa
4ee4e3b8-8169-4e1e-8942-7916a15bb578,Piso en venta en Calle de Juan de Vergara,"Puerta de Madrid, El Juncal (Distrito Reyes Católicos. Alcalá de Henares)",https://www.pisos.com/comprar/piso-puerta_de_madrid_el_juncal28802-41717450421_105900/,134000.0,2024-10-24,,,compra,2024-11-06T06:37:18.221383,101.0,3,1,No especificado,No especificado,No especificado,No especificado,Piso
ce66cdec-0996-4d2c-b08d-06397f824d8e,Piso en venta en Calle de Paraguay,Valleaguado-La Cañada (Coslada),https://www.pisos.com/comprar/piso-valleaguado_la_canada28822-46708426183_100500/,277000.0,2024-08-03,,,compra,2024-11-06T06:37:20.901096,120.0,3,2,No especificado,En buen estado,110.0,7ª,Piso
eca027a7-9aea-43c5-84a0-bd87d8da1512,Piso en venta en Marroquina,Marroquina (Distrito Moratalaz. Madrid Capital),https://www.pisos.com/comprar/piso-marroquina28030-45911278111_100200/,330000.0,2024-07-15,Consumo:194 kWh/m² año,Emisiones:40 Kg CO₂/m² año,compra,2024-11-06T06:37:23.469569,94.0,3,2,No especificado,En buen estado,No especificado,No especificado,Piso
84963cf3-4077-41bc-bb08-2a062c04b71d,Piso en venta en Guadarrama,Guadarrama,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-48337948729_527913/,0.0,2024-10-29,,,compra,2024-11-06T06:37:26.123517,72.0,3,1,No especificado,Reformado,70.0,1ª,Piso
812ac544-751e-4ca7-9d29-3379a3548db4,Dúplex en venta en Madrid,Centro (Valdemoro),https://www.pisos.com/comprar/duplex-valdemoro_centro28341-47567552551_108900/,160000.0,2024-10-21,,,compra,2024-11-06T06:37:28.638948,66.0,2,2,No especificado,En buen estado,No especificado,2ª,Dúplex
122bf865-cf49-4937-80dd-a358ad68f44b,Piso en venta en Centro,Centro (Leganés),https://www.pisos.com/comprar/piso-leganes_centro28912-45928807235_100200/,159900.0,2024-08-05,Consumo:53 kWh/m² año,Emisiones:344 Kg CO₂/m² año,compra,2024-11-06T06:37:31.342523,62.0,2,1,No especificado,En buen estado,No especificado,No especificado,Piso
f621aa14-3c1d-4470-b091-31e9fff8aa55,Piso en venta en Calle de la Violeta,Cuevas-Ilustración (Ciempozuelos),https://www.pisos.com/comprar/piso-cuevas_ilustracion-47563114915_100700/,129000.0,2024-10-29,,,compra,2024-11-06T06:37:34.039725,77.0,No especificado,No especificado,No especificado,No especificado,77.0,No especificado,Piso
3071f46b-ed88-4d74-8c54-22e30d0e6be8,Piso en venta en Calle del Peñote,Zona Calle Casa Amarilla (Galapagar),https://www.pisos.com/comprar/piso-zona_calle_casa_amarilla28260-41681102078_105900/,193500.0,2024-10-24,,,compra,2024-11-06T06:37:36.612915,131.0,3,2,No especificado,No especificado,No especificado,No especificado,Piso
3c88db19-464b-4ca0-bc6a-2cf66e7c4ce0,Piso en venta en Valleaguado-La Cañada,Valleaguado-La Cañada (Coslada),https://www.pisos.com/comprar/piso-valleaguado_la_canada28823-47524691521_100200/,255000.0,2024-10-10,Consumo:338 kWh/m² año,Emisiones:70 Kg CO₂/m² año,compra,2024-11-06T06:37:39.203107,115.0,4,2,Entre 30 y 50 años,En buen estado,No especificado,No especificado,Piso
2f5cd973-b87e-496a-9a4e-95ae792491f9,"Casa adosada en venta en Avenida de las Artes, s/n, cerca de Calle de Doñana",Nuevo Aranjuez-Ciudad de las Artes-El Mirador (Aranjuez),https://www.pisos.com/comprar/casa_adosada-nuevo_aranjuez_ciudad_de_las_artes_el_mirador-4180701430_109700/,391000.0,2024-11-05,,,compra,2024-11-06T06:37:41.938863,338.0,4,3,No especificado,A estrenar,No especificado,No especificado,Casa
34584d5f-1c30-49c0-9f1f-4e790641a40f,"Ático en venta en Calle del Real Betis, 11",Puerta Bonita (Distrito Carabanchel. Madrid Capital),https://www.pisos.com/comprar/atico-puerta_bonita28025-4804363840_109700/,0.0,2024-11-04,,,compra,2024-11-06T06:37:44.432579,69.0,1,1,No especificado,A estrenar,No especificado,No especificado,Otro
59d0051f-d9a5-4563-9af1-c743cc8e7337,"Piso en venta en Plaza de Martínez Olmedilla, número .",Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),https://www.pisos.com/comprar/piso-villa_de_vallecas_santa_eugenia28031-49197998087_109300/,295000.0,2024-11-05,,,compra,2024-11-06T06:37:46.923665,108.0,3,1,No especificado,No especificado,85.0,2ª,Piso
fa1230f8-e858-4368-9581-65754510ab8d,"Piso en venta en Colonia, Avenida de Meco","Colonia, Avenida de Meco (Distrito El Val. Alcalá de Henares)",https://www.pisos.com/comprar/piso-colonia_avenida_de_meco28805-48382183596_109300/,199000.0,2024-10-27,Consumo:260.4 kWh/m² año,Emisiones:53.5 Kg CO₂/m² año,compra,2024-11-06T06:37:49.738426,,3,2,Entre 30 y 50 años,En buen estado,No especificado,1ª,Piso
4e3b09e3-b970-4f44-96b3-e2c9ee4b7407,Piso en venta en los Santos de La Humosa,Los Santos de la Humosa,https://www.pisos.com/comprar/piso-los_santos_de_la_humosa_centro_urbano-45011267162_109300/,119900.0,2024-06-26,Consumo:328 kWh/m² año,Emisiones:56 Kg CO₂/m² año,compra,2024-11-06T06:37:52.227292,93.0,2,1,Entre 10 y 20 años,En buen estado,69.0,2ª,Piso
